condition,relay_depth,depth,handoff_age,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
question_conditioned,0,0,0,30,0.6431,0.5528,0.7347,0.7999,0.7406,0.8568,0.8875,0.8375,0.9333
question_conditioned,0,0,1,30,0.5278,0.3778,0.6778,0.7309,0.6257,0.829,0.8306,0.7222,0.925
question_conditioned,0,0,2,14,0.7857,0.5893,0.9464,0.9262,0.8643,0.9821,0.9821,0.9464,1.0
question_conditioned,0,0,3,6,0.9167,0.75,1.0,0.9833,0.95,1.0,1.0,1.0,1.0
question_conditioned,1,1,0,30,0.6542,0.5653,0.7431,0.823,0.7599,0.88,0.9125,0.8542,0.9611
question_conditioned,1,1,1,30,0.5806,0.4278,0.7278,0.7894,0.6941,0.8737,0.8667,0.7611,0.9556
question_conditioned,1,1,2,30,0.5861,0.4444,0.7278,0.7382,0.6343,0.8373,0.825,0.7139,0.9222
question_conditioned,1,1,3,14,0.8036,0.6071,0.9643,0.9179,0.8357,0.9857,0.9643,0.9107,1.0
question_conditioned,1,1,4,14,0.8036,0.6071,0.9643,0.9298,0.8679,0.9857,0.9821,0.9464,1.0
question_conditioned,1,1,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
question_conditioned,1,1,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
question_conditioned,3,3,0,30,0.6306,0.5389,0.7222,0.784,0.7196,0.8449,0.8917,0.8292,0.9472
question_conditioned,3,3,1,30,0.5778,0.4222,0.7278,0.776,0.6782,0.8644,0.8611,0.7556,0.9556
question_conditioned,3,3,2,30,0.6028,0.4528,0.75,0.7565,0.6594,0.8489,0.8528,0.7556,0.9389
question_conditioned,3,3,3,30,0.625,0.4778,0.7639,0.7594,0.6507,0.8565,0.85,0.7444,0.9389
question_conditioned,3,3,4,30,0.575,0.4278,0.7167,0.7637,0.6833,0.8427,0.8667,0.7722,0.95
question_conditioned,3,3,5,14,0.8571,0.6786,1.0,0.9548,0.9,1.0,1.0,1.0,1.0
question_conditioned,3,3,6,14,0.8393,0.6786,0.9643,0.9369,0.8762,0.9857,0.9821,0.9464,1.0
question_conditioned,3,3,7,14,0.7857,0.5714,0.9643,0.9238,0.8571,0.9857,1.0,1.0,1.0
question_conditioned,3,3,8,14,0.7321,0.5357,0.9107,0.8583,0.7595,0.9476,0.9107,0.8036,1.0
question_conditioned,3,3,9,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
question_conditioned,3,3,10,6,0.9167,0.75,1.0,0.9167,0.75,1.0,0.9167,0.75,1.0
question_conditioned,3,3,11,6,0.9167,0.75,1.0,0.9167,0.75,1.0,0.9167,0.75,1.0
question_conditioned,3,3,12,6,0.9167,0.75,1.0,0.9167,0.75,1.0,0.9167,0.75,1.0
question_conditioned,5,5,0,30,0.6389,0.5625,0.7181,0.7912,0.7337,0.8456,0.8806,0.8222,0.9333
question_conditioned,5,5,1,30,0.5667,0.4139,0.7167,0.7767,0.6829,0.86,0.85,0.7444,0.9389
question_conditioned,5,5,2,30,0.5861,0.4389,0.7306,0.755,0.6603,0.8427,0.8389,0.7443,0.9278
question_conditioned,5,5,3,30,0.6028,0.4611,0.7417,0.7504,0.6441,0.8453,0.8472,0.7417,0.9389
question_conditioned,5,5,4,30,0.6056,0.4694,0.7389,0.7595,0.6681,0.8439,0.8528,0.7611,0.9333
question_conditioned,5,5,5,30,0.6028,0.4611,0.7417,0.759,0.6667,0.8444,0.8667,0.7778,0.9444
question_conditioned,5,5,6,30,0.5667,0.4194,0.7111,0.7,0.5862,0.8081,0.7944,0.6778,0.9
question_conditioned,5,5,7,14,0.7857,0.5893,0.9464,0.9119,0.844,0.9679,0.9643,0.9107,1.0
question_conditioned,5,5,8,14,0.8036,0.6429,0.9464,0.9131,0.8405,0.975,0.9464,0.8571,1.0
question_conditioned,5,5,9,14,0.75,0.5357,0.9286,0.9,0.819,0.9679,0.9464,0.8571,1.0
question_conditioned,5,5,10,14,0.7679,0.5536,0.9464,0.906,0.8071,0.9857,0.9464,0.8393,1.0
question_conditioned,5,5,11,14,0.7321,0.5357,0.9107,0.8821,0.7952,0.9571,0.9286,0.8393,1.0
question_conditioned,5,5,12,14,0.75,0.5536,0.9107,0.9,0.8167,0.9679,0.9286,0.8393,1.0
question_conditioned,5,5,13,6,0.9167,0.75,1.0,0.9722,0.9167,1.0,0.9167,0.75,1.0
question_conditioned,5,5,14,6,0.9167,0.75,1.0,0.9722,0.9167,1.0,0.9167,0.75,1.0
question_conditioned,5,5,15,6,0.9167,0.75,1.0,0.9722,0.9167,1.0,0.9167,0.75,1.0
question_conditioned,5,5,16,6,0.9167,0.75,1.0,0.9722,0.9167,1.0,0.9167,0.75,1.0
