dossier_id,rotation_id,announced_fact_id,mode,slots,selection_valid,selected_count,announced_card_selected,hidden_card_selection_rate,handoff_characters,handoff_words,handoff_estimated_tokens,immediate_em,reusable_em,immediate_f1,reusable_f1,immediate_judge_correct,reusable_judge_correct
fic:1,fic:1:A=side2:6f2007a4fb50,fic:1:side2,generic,2,1.0,2,0.0,0.4,249,46,67,0.0,0.4,0.5,0.4,0.0,0.4
fic:1,fic:1:A=side2:6f2007a4fb50,fic:1:side2,conditioned,2,1.0,2,1.0,0.2,252,46,68,1.0,0.2,1.0,0.2,1.0,0.2
fic:1,fic:1:A=side2:6f2007a4fb50,fic:1:side2,generic,4,1.0,4,0.0,0.8,416,76,112,0.0,0.8,0.5,0.8,0.0,0.8
fic:1,fic:1:A=side2:6f2007a4fb50,fic:1:side2,conditioned,4,1.0,4,1.0,0.6,412,76,111,1.0,0.6,1.0,0.6,1.0,0.6
fic:1,fic:1:A=side2:6f2007a4fb50,fic:1:side2,generic,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=side2:6f2007a4fb50,fic:1:side2,conditioned,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=target:ee65761b98e2,fic:1:target,generic,2,1.0,2,1.0,0.2,249,46,67,1.0,0.2,1.0,0.3,1.0,0.2
fic:1,fic:1:A=target:ee65761b98e2,fic:1:target,conditioned,2,1.0,2,1.0,0.2,252,46,68,1.0,0.2,1.0,0.2,1.0,0.2
fic:1,fic:1:A=target:ee65761b98e2,fic:1:target,generic,4,1.0,4,1.0,0.6,416,76,112,1.0,0.6,1.0,0.7,1.0,0.6
fic:1,fic:1:A=target:ee65761b98e2,fic:1:target,conditioned,4,1.0,4,1.0,0.6,412,76,111,1.0,0.6,1.0,0.6,1.0,0.6
fic:1,fic:1:A=target:ee65761b98e2,fic:1:target,generic,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=target:ee65761b98e2,fic:1:target,conditioned,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=side4:6ea2e31e623a,fic:1:side4,generic,2,1.0,2,0.0,0.4,249,46,67,0.0,0.4,0.0,0.5,0.0,0.4
fic:1,fic:1:A=side4:6ea2e31e623a,fic:1:side4,conditioned,2,1.0,2,1.0,0.2,235,44,63,1.0,0.2,1.0,0.3,1.0,0.2
fic:1,fic:1:A=side4:6ea2e31e623a,fic:1:side4,generic,4,1.0,4,1.0,0.6,416,76,112,1.0,0.6,1.0,0.7,1.0,0.6
fic:1,fic:1:A=side4:6ea2e31e623a,fic:1:side4,conditioned,4,1.0,4,1.0,0.6,416,76,112,1.0,0.6,1.0,0.7,1.0,0.6
fic:1,fic:1:A=side4:6ea2e31e623a,fic:1:side4,generic,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=side4:6ea2e31e623a,fic:1:side4,conditioned,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=side3:e69e95079417,fic:1:side3,generic,2,1.0,2,1.0,0.2,249,46,67,1.0,0.2,1.0,0.3,1.0,0.2
fic:1,fic:1:A=side3:e69e95079417,fic:1:side3,conditioned,2,1.0,2,1.0,0.2,249,46,67,1.0,0.2,1.0,0.3,1.0,0.2
fic:1,fic:1:A=side3:e69e95079417,fic:1:side3,generic,4,1.0,4,1.0,0.6,416,76,112,1.0,0.6,1.0,0.7,1.0,0.6
fic:1,fic:1:A=side3:e69e95079417,fic:1:side3,conditioned,4,1.0,4,1.0,0.6,412,76,111,1.0,0.6,1.0,0.6,1.0,0.6
fic:1,fic:1:A=side3:e69e95079417,fic:1:side3,generic,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=side3:e69e95079417,fic:1:side3,conditioned,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=side1:bdccb9b79612,fic:1:side1,generic,2,1.0,2,0.0,0.4,249,46,67,0.0,0.4,0.0,0.5,0.0,0.4
fic:1,fic:1:A=side1:bdccb9b79612,fic:1:side1,conditioned,2,1.0,2,1.0,0.2,256,46,69,1.0,0.2,1.0,0.3,1.0,0.2
fic:1,fic:1:A=side1:bdccb9b79612,fic:1:side1,generic,4,1.0,4,1.0,0.6,416,76,112,1.0,0.6,1.0,0.7,1.0,0.6
fic:1,fic:1:A=side1:bdccb9b79612,fic:1:side1,conditioned,4,1.0,4,1.0,0.6,416,76,112,1.0,0.6,1.0,0.7,1.0,0.6
fic:1,fic:1:A=side1:bdccb9b79612,fic:1:side1,generic,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=side1:bdccb9b79612,fic:1:side1,conditioned,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=side5:a68e28446b54,fic:1:side5,generic,2,1.0,2,0.0,0.4,249,46,67,0.0,0.4,0.0,0.5,0.0,0.4
fic:1,fic:1:A=side5:a68e28446b54,fic:1:side5,conditioned,2,1.0,2,1.0,0.2,226,42,61,1.0,0.2,1.0,0.2,1.0,0.2
fic:1,fic:1:A=side5:a68e28446b54,fic:1:side5,generic,4,1.0,4,0.0,0.8,416,76,112,0.0,0.8,0.0,0.9,0.0,0.8
fic:1,fic:1:A=side5:a68e28446b54,fic:1:side5,conditioned,4,1.0,4,1.0,0.6,403,74,108,1.0,0.6,1.0,0.6,1.0,0.6
fic:1,fic:1:A=side5:a68e28446b54,fic:1:side5,generic,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:1,fic:1:A=side5:a68e28446b54,fic:1:side5,conditioned,6,1.0,6,1.0,1.0,570,104,154,1.0,1.0,1.0,1.0,1.0,1.0
fic:2,fic:2:A=side4:f25040c78d6c,fic:2:side4,generic,2,1.0,2,0.0,0.4,292,49,78,0.0,0.4,0.0,0.4,0.0,0.4
fic:2,fic:2:A=side4:f25040c78d6c,fic:2:side4,conditioned,2,1.0,2,1.0,0.2,269,45,72,0.0,0.2,0.6666666666666666,0.2,1.0,0.2
fic:2,fic:2:A=side4:f25040c78d6c,fic:2:side4,generic,4,1.0,4,1.0,0.6,412,71,111,0.0,0.6,0.6666666666666666,0.6,1.0,0.6
fic:2,fic:2:A=side4:f25040c78d6c,fic:2:side4,conditioned,4,1.0,4,1.0,0.6,412,71,111,0.0,0.6,0.6666666666666666,0.6,1.0,0.6
fic:2,fic:2:A=side4:f25040c78d6c,fic:2:side4,generic,6,1.0,6,1.0,1.0,542,97,146,0.0,1.0,0.6666666666666666,1.0,1.0,1.0
fic:2,fic:2:A=side4:f25040c78d6c,fic:2:side4,conditioned,6,1.0,6,1.0,1.0,542,97,146,0.0,1.0,0.6666666666666666,1.0,1.0,1.0
fic:2,fic:2:A=side5:6a240a54cd15,fic:2:side5,generic,2,1.0,2,0.0,0.4,292,49,78,0.0,0.4,0.0,0.4,0.0,0.4
fic:2,fic:2:A=side5:6a240a54cd15,fic:2:side5,conditioned,2,1.0,2,1.0,0.2,281,48,75,1.0,0.2,1.0,0.2,1.0,0.2
fic:2,fic:2:A=side5:6a240a54cd15,fic:2:side5,generic,4,1.0,4,0.0,0.8,412,71,111,0.0,0.6,0.0,0.7333333333333333,0.0,0.8
fic:2,fic:2:A=side5:6a240a54cd15,fic:2:side5,conditioned,4,1.0,4,1.0,0.6,424,74,114,1.0,0.6,1.0,0.6,1.0,0.6
fic:2,fic:2:A=side5:6a240a54cd15,fic:2:side5,generic,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:2,fic:2:A=side5:6a240a54cd15,fic:2:side5,conditioned,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:2,fic:2:A=side2:717385baa12b,fic:2:side2,generic,2,1.0,2,0.0,0.4,292,49,78,0.0,0.4,0.0,0.4,0.0,0.4
fic:2,fic:2:A=side2:717385baa12b,fic:2:side2,conditioned,2,1.0,2,1.0,0.2,269,46,72,1.0,0.2,1.0,0.2,1.0,0.2
fic:2,fic:2:A=side2:717385baa12b,fic:2:side2,generic,4,1.0,4,0.0,0.8,412,71,111,0.0,0.6,0.0,0.7333333333333333,0.0,0.8
fic:2,fic:2:A=side2:717385baa12b,fic:2:side2,conditioned,4,1.0,4,1.0,0.6,412,72,111,1.0,0.6,1.0,0.6,1.0,0.6
fic:2,fic:2:A=side2:717385baa12b,fic:2:side2,generic,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:2,fic:2:A=side2:717385baa12b,fic:2:side2,conditioned,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:2,fic:2:A=target:d5c3180ae78d,fic:2:target,generic,2,1.0,2,1.0,0.2,292,49,78,1.0,0.2,1.0,0.2,1.0,0.2
fic:2,fic:2:A=target:d5c3180ae78d,fic:2:target,conditioned,2,1.0,2,1.0,0.2,292,49,78,1.0,0.2,1.0,0.2,1.0,0.2
fic:2,fic:2:A=target:d5c3180ae78d,fic:2:target,generic,4,1.0,4,1.0,0.6,412,71,111,1.0,0.4,1.0,0.5333333333333333,1.0,0.6
fic:2,fic:2:A=target:d5c3180ae78d,fic:2:target,conditioned,4,1.0,4,1.0,0.6,412,72,111,1.0,0.6,1.0,0.6,1.0,0.6
fic:2,fic:2:A=target:d5c3180ae78d,fic:2:target,generic,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:2,fic:2:A=target:d5c3180ae78d,fic:2:target,conditioned,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:2,fic:2:A=side3:d43fa0e6a872,fic:2:side3,generic,2,1.0,2,0.0,0.4,292,49,78,0.0,0.4,0.0,0.4,0.0,0.4
fic:2,fic:2:A=side3:d43fa0e6a872,fic:2:side3,conditioned,2,1.0,2,1.0,0.2,118,22,31,1.0,0.0,1.0,0.13333333333333333,1.0,0.2
fic:2,fic:2:A=side3:d43fa0e6a872,fic:2:side3,generic,4,1.0,4,1.0,0.6,412,71,111,1.0,0.4,1.0,0.5333333333333333,1.0,0.6
fic:2,fic:2:A=side3:d43fa0e6a872,fic:2:side3,conditioned,4,1.0,4,1.0,0.6,259,49,70,1.0,0.4,1.0,0.5333333333333333,1.0,0.6
fic:2,fic:2:A=side3:d43fa0e6a872,fic:2:side3,generic,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:2,fic:2:A=side3:d43fa0e6a872,fic:2:side3,conditioned,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:2,fic:2:A=side1:32ba93f34e68,fic:2:side1,generic,2,1.0,2,1.0,0.2,292,49,78,1.0,0.2,1.0,0.2,1.0,0.2
fic:2,fic:2:A=side1:32ba93f34e68,fic:2:side1,conditioned,2,1.0,2,1.0,0.2,292,49,78,1.0,0.2,1.0,0.2,1.0,0.2
fic:2,fic:2:A=side1:32ba93f34e68,fic:2:side1,generic,4,1.0,4,1.0,0.6,412,71,111,1.0,0.4,1.0,0.5333333333333333,1.0,0.6
fic:2,fic:2:A=side1:32ba93f34e68,fic:2:side1,conditioned,4,1.0,4,1.0,0.6,412,72,111,1.0,0.6,1.0,0.6,1.0,0.6
fic:2,fic:2:A=side1:32ba93f34e68,fic:2:side1,generic,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:2,fic:2:A=side1:32ba93f34e68,fic:2:side1,conditioned,6,1.0,6,1.0,1.0,542,97,146,1.0,0.8,1.0,0.9333333333333332,1.0,1.0
fic:3,fic:3:A=target:e9b54581424a,fic:3:target,generic,2,1.0,2,0.0,0.4,154,30,41,1.0,0.4,1.0,0.4,1.0,0.4
fic:3,fic:3:A=target:e9b54581424a,fic:3:target,conditioned,2,1.0,2,1.0,0.2,294,51,79,1.0,0.4,1.0,0.4,1.0,0.4
fic:3,fic:3:A=target:e9b54581424a,fic:3:target,generic,4,1.0,4,1.0,0.6,510,89,137,1.0,0.6,1.0,0.7,1.0,0.6
fic:3,fic:3:A=target:e9b54581424a,fic:3:target,conditioned,4,1.0,4,1.0,0.6,510,89,137,1.0,0.6,1.0,0.7,1.0,0.6
fic:3,fic:3:A=target:e9b54581424a,fic:3:target,generic,6,1.0,6,1.0,1.0,680,122,183,1.0,1.0,1.0,1.0,1.0,1.0
fic:3,fic:3:A=target:e9b54581424a,fic:3:target,conditioned,6,1.0,6,1.0,1.0,680,122,183,1.0,1.0,1.0,1.0,1.0,1.0
fic:3,fic:3:A=side1:99acf47a879e,fic:3:side1,generic,2,1.0,2,1.0,0.2,154,30,41,1.0,0.4,1.0,0.4,1.0,0.4
fic:3,fic:3:A=side1:99acf47a879e,fic:3:side1,conditioned,2,1.0,2,1.0,0.2,294,51,79,1.0,0.4,1.0,0.4,1.0,0.4
fic:3,fic:3:A=side1:99acf47a879e,fic:3:side1,generic,4,1.0,4,0.0,0.8,510,89,137,0.0,0.8,0.5,0.8,0.0,0.8
fic:3,fic:3:A=side1:99acf47a879e,fic:3:side1,conditioned,4,1.0,4,1.0,0.6,522,89,141,1.0,0.6,1.0,0.6,1.0,0.6
fic:3,fic:3:A=side1:99acf47a879e,fic:3:side1,generic,6,1.0,6,1.0,1.0,680,122,183,1.0,1.0,1.0,1.0,1.0,1.0
fic:3,fic:3:A=side1:99acf47a879e,fic:3:side1,conditioned,6,1.0,6,1.0,1.0,680,122,183,1.0,1.0,1.0,1.0,1.0,1.0
fic:3,fic:3:A=side4:c6e8cef22843,fic:3:side4,generic,2,1.0,2,0.0,0.4,154,30,41,0.0,0.6,0.0,0.6,0.0,0.6
fic:3,fic:3:A=side4:c6e8cef22843,fic:3:side4,conditioned,2,1.0,2,1.0,0.2,156,33,42,1.0,0.2,1.0,0.26666666666666666,1.0,0.2
fic:3,fic:3:A=side4:c6e8cef22843,fic:3:side4,generic,4,1.0,4,0.0,0.8,510,89,137,0.0,0.8,0.0,0.9,0.0,0.8
